SubjectID,Group,Age,Sex,Status,Radius,Total_trials,mean_dist1,mean_dist2,mean_dist3,pstd_dist1,pstd_dist2,pstd_dist3,mean_angl1,mean_angl2,mean_angl3,pstd_angl1,pstd_angl2,pstd_angl3,mean_degrees1,mean_degrees2,mean_degrees3,pstd_degrees1,pstd_degrees2,pstd_degrees3
344,Midlife,50,Female,peri,1,5,0.754429437,1.43997132,2.516733935,0.34148142,0.642021577,0.999704037,45.43200142,42.2878261,50.14400356,29.63470148,18.76028596,20.5359256,322.8382011,377.7348566,350.2909652,43.77773289,44.98243458,56.52630508
347,Midlife,49,Female,pre,1,10,0.427095797,0.842388194,2.798140534,0.297828041,0.385664742,1.423858023,23.79426632,24.31030006,56.60778293,18.59969914,11.77956357,31.06989567,366.8186078,372.9725319,416.6963079,31.14657758,24.99552402,34.02384107
349,Midlife,46,Female,pre,1,5,0.915859478,2.869818899,3.645091547,0.343896187,1.183857277,1.894237839,59.21517553,108.4914562,87.36727829,23.44727802,51.99202421,52.78297369,412.7936641,499.5185046,447.2265356,40.68777776,141.1102924,57.87652824
350,Midlife,55,Female,post,1,9,0.45911797,0.921580412,3.617061802,0.217980901,0.866351164,1.104786684,26.7666619,27.53926636,76.921184,13.27461388,26.41975915,27.83295502,333.8377288,382.3525454,437.0681913,14.00161418,32.62475687,30.41021825
351,Midlife,49,Female,pre,1,9,1.037331417,1.265485274,2.368335752,0.204823693,0.832128365,1.557507709,66.88981894,38.77685477,50.97698512,16.45049768,28.12253484,39.73921968,293.7506313,321.7183646,327.1387946,17.02646574,29.5566486,59.95967679
355,Midlife,49,Female,pre,1,10,0.588427074,1.550320477,4.023153179,0.359279732,1.227229509,1.537274601,36.06709547,51.41311431,91.21812378,25.02343196,49.78410038,41.6783244,386.7260188,407.2771296,450.0390345,36.83179377,57.56038985,46.95487772
356,Midlife,49,Female,peri,1,10,0.503345984,3.288639946,3.933489647,0.41298756,0.693708322,1.292345574,96.39945163,118.2926425,91.30432864,26.53881922,34.67455088,47.41613459,388.6864335,518.0729118,558.1561749,29.68137052,70.65989494,125.0791551
358,Midlife,53,Female,peri,1,10,0.9584996,3.357548316,5.329623813,0.455166385,0.594012598,0.553452982,65.09973799,128.1522211,135.7723902,41.22847028,36.62669654,26.60273215,424.256216,510.3276109,501.5701917,45.36291588,58.99193587,36.40269537
362,Midlife,53,Female,post,1,7,0.734244382,2.291412435,3.150185116,0.571374662,1.515240766,1.753549664,49.32795854,88.18613941,70.03511437,42.73840125,66.17604159,45.07797518,406.5412721,460.3813595,397.1855977,50.20806239,85.58409452,79.06665575
366,Midlife,48,Female,peri,1,9,0.619649947,1.905743772,4.239670901,0.363608039,1.310958287,1.278701772,37.61787378,69.26330094,99.75471972,26.03887936,56.61801397,40.88219259,394.2721233,429.8468634,460.0416744,33.12352911,59.67212704,44.20272929
367,Midlife,53,Female,peri,1,10,0.693499207,1.059938881,1.663358591,0.281032094,0.516153522,1.02298516,41.33608304,30.79710247,32.98725873,17.72133046,15.38129287,20.63834261,358.74688,339.9615988,358.0199522,109.5143415,29.68041917,41.97544266
368,Midlife,52,Female,peri,1,9,0.756098527,1.299523335,1.994496999,0.432527197,1.03035948,1.01332654,46.32928766,40.82236992,40.06225311,28.46535561,36.38331647,21.6951891,377.383213,417.780775,511.67013,43.00375062,84.04271227,105.9167765
369,Midlife,50,Female,pre,1,10,0.502814548,1.387492844,1.112209263,0.214895692,0.538963328,0.4476428,29.55668877,40.91588409,21.09433306,13.81714693,16.42841897,8.813739403,330.6907213,319.2558352,339.039386,14.3847301,17.36692569,9.454413231
371,Midlife,46,Female,pre,1,8,0.709159658,2.022010291,3.021844825,0.370509913,1.302327511,1.886747151,43.34124776,70.27558941,66.84558339,26.75183932,53.2105669,45.7294611,317.8976309,422.0820656,481.8878536,29.41249691,70.40898547,114.5930095
373,Midlife,52,Female,post ,1,10,0.632324841,0.988035469,2.782344583,0.26603762,0.877626721,1.190689735,37.51621084,29.86843026,57.36143031,19.14942288,28.63057383,28.57785248,331.2171145,380.0502734,417.4824017,31.80305328,38.54990585,30.30128782
319,Midlife,61,Male,men,1,5,0.4958176,1.518095642,2.652217044,0.245363394,1.165711309,1.885072795,28.47725438,51.13472506,61.1370403,18.36031294,45.28393762,49.4413374,331.6281553,362.6154867,348.5491533,20.51562544,71.92057914,115.5313124
320,Midlife,45,Male,men,1,10,0.754176076,1.485221056,3.947293483,0.66068443,1.085870335,1.719083455,46.52903299,47.47190115,89.90027711,46.66862887,40.7024054,47.4499045,409.7283662,407.5659096,443.8042273,66.58783285,42.96201877,64.90126391
321,Midlife,51,Male,men,1,2,,1.230118023,,,0.772614482,,,37.27759544,,,24.87864159,,,344.9175343,,,44.90390651,
322,Midlife,48,Male,men,1,6,1.11522962,2.129324512,3.740010751,0.376760186,0.746970459,1.576159516,69.97342857,68.12536068,87.6675479,25.73573011,27.50002648,45.05977923,379.3039809,343.4221572,274.6959332,78.86054832,119.6259536,52.17905435
325,Midlife,48,Male,men,1,6,0.739369678,1.673400857,2.579679659,0.150058003,0.986601682,1.497513507,44.88673437,58.33233646,55.53625608,9.971071115,45.88138012,36.3333421,314.0979539,310.101008,299.2513829,35.13690545,25.20904611,41.10093122
328,Midlife,53,Male,men,1,10,0.743405348,0.838222137,1.402596365,0.26812074,0.52585863,0.888643067,45.43472767,24.63808335,26.81561871,16.99574504,16.53148856,18.35215598,336.3818248,345.0094058,337.5615283,44.40292637,26.67595566,24.62366479
330,Midlife,54,Male,men,1,7,0.415040834,1.06160219,1.796771097,0.394437629,0.677082297,1.267313161,24.5153806,30.94979936,35.8881186,25.79576473,20.35205107,26.46925632,358.9957825,329.0835126,351.9289524,38.46593395,21.5869567,46.22707282
341,Midlife,58,Male,men,1,9,0.820562783,0.984589908,1.718604891,0.352306186,0.881244605,1.357216757,54.87041982,30.15294291,34.85868151,27.54122831,28.81932185,30.20763373,306.0548596,362.0423489,359.5275626,29.25801185,45.24828419,49.22631613
345,Midlife,49,Male,men,1,6,0.607207895,0.823279156,,0.2926898,0.817477995,,34.35608772,23.76113248,,17.15760885,24.947971,,330.9713345,337.6260962,,27.06599927,27.61535908,
346,Midlife,55,Male,men,1,5,0.480785035,1.778944847,,0.261010511,1.130784842,,26.86785789,56.27999902,,19.46935736,38.34430188,,369.1606356,415.5497975,,35.46430577,41.84820261,
348,Midlife,48,Male,men,1,9,0.385093864,1.764281769,2.880244751,0.208864742,0.915208494,1.781964987,20.61156328,56.34741223,62.6777102,12.56005761,31.90802242,41.48396649,359.6176769,313.2929454,317.7332853,25.4949851,47.43765885,68.07979619
353,Midlife,44,Male,men ,1,10,0.352972295,0.874532706,2.260629355,0.210282345,0.45553089,0.805369528,19.19137066,25.18975962,45.34343456,13.96328597,14.15838867,16.9929048,354.7113142,360.7006449,313.0355582,24.36672032,30.41002161,18.10998353
